sheet_name,scale,description,la,lo,date,timestamp
Артилерія та РСЗВ,,,47.483595,32.73034,2022-7-25,1658707200000
Артилерія та РСЗВ,,,46.959077,32.011812,2022-7-27,1658880000000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-26,1658793600000
Артилерія та РСЗВ,,,46.885644,32.227655,2022-7-26,1658793600000
Артилерія та РСЗВ,,,46.844166,31.908865,2022-7-26,1658793600000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-26,1658793600000
Артилерія та РСЗВ,,,46.97526,31.892919,2022-7-26,1658793600000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-27,1658880000000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-26,1658793600000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-26,1658793600000
Артилерія та РСЗВ,,,47.331542,33.048818,2022-7-26,1658793600000
Артилерія та РСЗВ,,,47.286823,33.071037,2022-7-26,1658793600000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-27,1658880000000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-27,1658880000000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-27,1658880000000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-28,1658966400000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-27,1658880000000
Артилерія та РСЗВ,,,46.959077,32.011812,2022-7-28,1658966400000
Артилерія та РСЗВ,,,46.980092,32.339906,2022-7-28,1658966400000
Артилерія та РСЗВ,,,46.632603,31.738128,2022-7-28,1658966400000
Артилерія та РСЗВ,,,46.497864,31.826792,2022-7-28,1658966400000
Артилерія та РСЗВ,,,46.662214,31.772931,2022-7-28,1658966400000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-28,1658966400000
Артилерія та РСЗВ,,,46.959077,32.011812,2022-7-30,1659139200000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-29,1659052800000
Артилерія та РСЗВ,,,47.286823,33.071037,2022-7-30,1659139200000
Артилерія та РСЗВ,,,47.331542,33.048818,2022-7-30,1659139200000
Артилерія та РСЗВ,,,46.959077,32.011812,2022-7-31,1659225600000
Артилерія та РСЗВ,,,46.696826,31.979453,2022-7-30,1659139200000
Артилерія та РСЗВ,,,47.14444,32.663701,2022-7-30,1659139200000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-30,1659139200000
Артилерія та РСЗВ,,,46.959077,32.011812,2022-7-1,1656633600000
Артилерія та РСЗВ,,,46.966356,32.359167,2022-7-31,1659225600000
Артилерія та РСЗВ,,,46.780528,31.952911,2022-7-31,1659225600000
Артилерія та РСЗВ,,,47.168671,32.446554,2022-7-31,1659225600000
Артилерія та РСЗВ,,,47.331542,33.048818,2022-7-31,1659225600000
Артилерія та РСЗВ,,,47.286823,33.071037,2022-7-31,1659225600000
Артилерія та РСЗВ,,,47.366277,33.062555,2022-7-31,1659225600000
Артилерія та РСЗВ,,,47.312209,32.98571,2022-7-31,1659225600000
Артилерія та РСЗВ,,,47.365991,32.940963,2022-7-31,1659225600000
Артилерія та РСЗВ,,,47.32143,32.91042,2022-7-31,1659225600000
Загиблі цивільні,1.0,"В с. Білозірка пошкоджено будинок, загинула одна людина.",47.090263,32.448873,2022-7-1,1656633600000
Загиблі цивільні,1.0,В селищі Луч внаслідок ворожих обстрілів загинула одна людина. ,46.826064,32.219268,2022-7-2,1656720000000
Загиблі цивільні,1.0,Внаслідок обстрілів с. Засілля загинула одна людина.,47.023995,32.427847,2022-7-5,1656979200000
Загиблі цивільні,1.0,Під час обстрілів с. Нечаяне загинула одна людина.,46.942736,31.552642,2022-7-6,1657065600000
Загиблі цивільні,2.0,Внаслідок обстрілів с. Українка Галицинівської громади загинуло дві людини.,46.824849,32.141298,2022-7-7,1657152000000
Загиблі цивільні,1.0,Через ракетний удар по Баштанці загинула жінка. ,47.40372,32.438221,2022-7-12,1657584000000
Загиблі цивільні,4.0,Через обстріли с. Новоселівка загинуло 4 людини.,46.999938,32.395752,2022-7-13,1657670400000
Загиблі цивільні,1.0,Через нічний обстріл Баштанки загинула одна людина.,47.40372,32.438221,2022-7-14,1657756800000
Загиблі цивільні,3.0,У с. Шевченкове внаслідок обстрілів загинули три людини. ,46.86215,32.196443,2022-7-16,1657929600000
Загиблі цивільні,1.0,Через обстріли у Широківській громаді загинула жінка.,47.123866,32.621648,2022-7-16,1657929600000
Загиблі цивільні,1.0,В с. Широке внаслідок влучання боєприпасу в житловий будинок є один загиблий.,47.098634,32.674144,2022-7-21,1658361600000
Загиблі цивільні,2.0,Через удари по с. Шевченкове загинуло дві людини.,46.86215,32.196443,2022-7-23,1658534400000
Загиблі цивільні,7.0,"Ворожі касетні снаряди влучили у зупинку громадського транспорту в Корабельному районі Миколаєва, загинуло 7 цивільних.",46.959077,32.011812,2022-7-29,1659052800000
Загиблі цивільні,1.0,"У Миколаєві обстріляли один зі спальних районів міста, одна людина загинула.",46.959077,32.011812,2022-7-30,1659139200000
Загиблі цивільні,1.0,Внаслідок масованих обстрілів Миколаєва загинула одна людина,46.959077,32.011812,2022-7-31,1659225600000
Поранені цивільні,3.0,Через влучання по домогосподарствах у Широківській громаді поранено троє людей.,47.123866,32.621648,2022-7-9,1657324800000
Поранені цивільні,1.0,"У Миколаєві внаслідок ракетного обстрілу є один поранений.
",46.959077,32.011807,2022-7-11,1657497600000
Поранені цивільні,4.0,У Миколаєві через масований ракетний обстріл поранено 4 людей.,46.959077,32.011807,2022-7-12,1657584000000
